Name,Level,Parent
Brunei,1,0
Belait District,2,Brunei
Brunei-Muara District,2,Brunei
Temburong District,2,Brunei
Tutong District,2,Brunei
Cambodia,1,0
Banteay Meanchey,2,Cambodia
Battambang,2,Cambodia
Kampong Cham,2,Cambodia
Kampong Chhnang,2,Cambodia
Kampong Speu,2,Cambodia
Kampong Thom,2,Cambodia
Kampot,2,Cambodia
Kandal,2,Cambodia
Kep,2,Cambodia
Koh Kong,2,Cambodia
Kratie,2,Cambodia
Mondulkiri,2,Cambodia
Oddar Meanchey,2,Cambodia
Pailin,2,Cambodia
Phnom Penh,2,Cambodia
Preah Vihear,2,Cambodia
Prey Veng,2,Cambodia
Pursat,2,Cambodia
Ratanakiri,2,Cambodia
Siem Reap,2,Cambodia
Sihanoukville,2,Cambodia
Stung Treng,2,Cambodia
Svay Rieng,2,Cambodia
Takeo,2,Cambodia
Timor-Leste,1,0
Aileu municipality,2,Timor-Leste
Ainaro Municipality,2,Timor-Leste
Baucau Municipality,2,Timor-Leste
Bobonaro Municipality,2,Timor-Leste
Cova Lima Municipality,2,Timor-Leste
Dili municipality,2,Timor-Leste
Ermera District,2,Timor-Leste
Lautém Municipality,2,Timor-Leste
Liquiçá Municipality,2,Timor-Leste
Manatuto District,2,Timor-Leste
Manufahi Municipality,2,Timor-Leste
Viqueque Municipality,2,Timor-Leste
Indonesia,1,0
Aceh,2,Indonesia
Bali,2,Indonesia
Banten,2,Indonesia
Bengkulu,2,Indonesia
DI Yogyakarta,2,Indonesia
DKI Jakarta,2,Indonesia
Gorontalo,2,Indonesia
Jambi,2,Indonesia
Jawa Barat,2,Indonesia
Jawa Tengah,2,Indonesia
Jawa Timur,2,Indonesia
Kalimantan Barat,2,Indonesia
Kalimantan Selatan,2,Indonesia
Kalimantan Tengah,2,Indonesia
Kalimantan Timur,2,Indonesia
Kalimantan Utara,2,Indonesia
Kepulauan Bangka Belitung,2,Indonesia
Kepulauan Riau,2,Indonesia
Lampung,2,Indonesia
Maluku,2,Indonesia
Maluku Utara,2,Indonesia
Nusa Tenggara Barat,2,Indonesia
Nusa Tenggara Timur,2,Indonesia
Papua,2,Indonesia
Papua Barat,2,Indonesia
Riau,2,Indonesia
Sulawesi Barat,2,Indonesia
Sulawesi Selatan,2,Indonesia
Sulawesi Tengah,2,Indonesia
Sulawesi Tenggara,2,Indonesia
Sulawesi Utara,2,Indonesia
Sumatera Barat,2,Indonesia
Sumatera Selatan,2,Indonesia
Sumatera Utara,2,Indonesia
Laos,1,0
Attapeu Province,2,Laos
Bokeo Province,2,Laos
Bolikhamsai Province,2,Laos
Champasak Province,2,Laos
Houaphanh Province,2,Laos
Khammouane Province,2,Laos
Luang Namtha Province,2,Laos
Luang Prabang Province,2,Laos
Oudomxay Province,2,Laos
Phongsaly Province,2,Laos
Sainyabuli Province,2,Laos
Salavan Province,2,Laos
Savannakhet Province,2,Laos
Sekong Province,2,Laos
Vientiane Prefecture,2,Laos
Vientiane Province,2,Laos
Xaisomboun,2,Laos
Xaisomboun Province,2,Laos
Xiangkhouang Province,2,Laos
Malaysia,1,0
Johor,2,Malaysia
Kedah,2,Malaysia
Kelantan,2,Malaysia
Kuala Lumpur,2,Malaysia
Labuan,2,Malaysia
Malacca,2,Malaysia
Negeri Sembilan,2,Malaysia
Pahang,2,Malaysia
Penang,2,Malaysia
Perak,2,Malaysia
Perlis,2,Malaysia
Putrajaya,2,Malaysia
Sabah,2,Malaysia
Sarawak,2,Malaysia
Selangor,2,Malaysia
Terengganu,2,Malaysia
Myanmar,1,0
Ayeyarwady Region,2,Myanmar
Bago,2,Myanmar
Chin State,2,Myanmar
Kachin State,2,Myanmar
Kayah State,2,Myanmar
Kayin State,2,Myanmar
Magway Region,2,Myanmar
Mandalay Region,2,Myanmar
Mon State,2,Myanmar
Naypyidaw Union Territory,2,Myanmar
Rakhine State,2,Myanmar
Sagaing Region,2,Myanmar
Shan State,2,Myanmar
Tanintharyi Region,2,Myanmar
Yangon Region,2,Myanmar
Philippines,1,0
